Algorithm,ARI Score,Duration,Sample size,Root0,Root1,Root2
Agglomerative,0.6121789350199756,0.0018072128295898438,62,GO:0042127,GO:0061024,GO:0006796
DBSCAN,0.0,0.002435445785522461,62,GO:0042127,GO:0061024,GO:0006796
HDBSCAN,0.3765732570542034,0.005418539047241211,62,GO:0042127,GO:0061024,GO:0006796
K-Means,0.4840002813137351,0.009571552276611328,70,GO:0042127,GO:0061024,GO:0008104
Agglomerative,0.5087634667953047,0.0016198158264160156,70,GO:0042127,GO:0061024,GO:0008104
DBSCAN,0.0,0.0021588802337646484,70,GO:0042127,GO:0061024,GO:0008104
HDBSCAN,0.5039383610689429,0.0054874420166015625,70,GO:0042127,GO:0061024,GO:0008104
K-Means,0.4265736588606544,0.009591341018676758,61,GO:0042127,GO:0061024,GO:1901565
Agglomerative,0.5884192652707486,0.001489400863647461,61,GO:0042127,GO:0061024,GO:1901565
DBSCAN,0.0,0.002106904983520508,61,GO:0042127,GO:0061024,GO:1901565
HDBSCAN,0.31484016771507384,0.004856586456298828,61,GO:0042127,GO:0061024,GO:1901565
K-Means,0.5679839249832552,0.009782075881958008,63,GO:0042127,GO:0061024,GO:0098662
Agglomerative,0.5373737373737374,0.0018188953399658203,63,GO:0042127,GO:0061024,GO:0098662
DBSCAN,0.0,0.002469778060913086,63,GO:0042127,GO:0061024,GO:0098662
HDBSCAN,0.5108433734939759,0.005374431610107422,63,GO:0042127,GO:0061024,GO:0098662
K-Means,0.6015789174760039,0.009724617004394531,61,GO:0042127,GO:0061024,GO:0080135
Agglomerative,0.48352667561357776,0.001794576644897461,61,GO:0042127,GO:0061024,GO:0080135
DBSCAN,0.0,0.0024175643920898438,61,GO:0042127,GO:0061024,GO:0080135
HDBSCAN,0.40573028683375567,0.005140066146850586,61,GO:0042127,GO:0061024,GO:0080135
K-Means,0.4575032821508077,0.009561777114868164,64,GO:0042127,GO:0006796,GO:0022607
Agglomerative,0.6086011113795603,0.0015208721160888672,64,GO:0042127,GO:0006796,GO:0022607
DBSCAN,0.0,0.06518054008483887,64,GO:0042127,GO:0006796,GO:0022607
HDBSCAN,0.37279922328077186,0.0049495697021484375,64,GO:0042127,GO:0006796,GO:0022607
K-Means,0.470288685036995,0.009718179702758789,60,GO:0042127,GO:0006796,GO:0008104
Agglomerative,0.5504603890601071,0.0017824172973632812,60,GO:0042127,GO:0006796,GO:0008104
DBSCAN,0.0,0.0024161338806152344,60,GO:0042127,GO:0006796,GO:0008104
HDBSCAN,0.6404642304596639,0.005124807357788086,60,GO:0042127,GO:0006796,GO:0008104
K-Means,0.08291806698342798,0.00972127914428711,49,GO:0042127,GO:0006796,GO:0097435
Agglomerative,0.5691016288597981,0.0016243457794189453,49,GO:0042127,GO:0006796,GO:0097435
DBSCAN,0.0,0.002351045608520508,49,GO:0042127,GO:0006796,GO:0097435
HDBSCAN,0.5926452965847813,0.0042116641998291016,49,GO:0042127,GO:0006796,GO:0097435
K-Means,0.6705029030201747,0.00981593132019043,51,GO:0042127,GO:0006796,GO:1901565
Agglomerative,0.6705029030201747,0.0016481876373291016,51,GO:0042127,GO:0006796,GO:1901565
DBSCAN,0.0,0.0023789405822753906,51,GO:0042127,GO:0006796,GO:1901565
HDBSCAN,0.6610193095555207,0.004487752914428711,51,GO:0042127,GO:0006796,GO:1901565
K-Means,0.5173072636372321,0.009709835052490234,53,GO:0042127,GO:0006796,GO:0098662
Agglomerative,0.6528617492946392,0.0016744136810302734,53,GO:0042127,GO:0006796,GO:0098662
DBSCAN,0.0,0.002388477325439453,53,GO:0042127,GO:0006796,GO:0098662
HDBSCAN,0.9398025453592335,0.0045320987701416016,53,GO:0042127,GO:0006796,GO:0098662
K-Means,0.5400885391047713,0.0488433837890625,51,GO:0042127,GO:0006796,GO:0080135
Agglomerative,0.5400885391047713,0.001653432846069336,51,GO:0042127,GO:0006796,GO:0080135
DBSCAN,0.0,0.002195596694946289,51,GO:0042127,GO:0006796,GO:0080135
HDBSCAN,0.47705030618668803,0.003855466842651367,51,GO:0042127,GO:0006796,GO:0080135
K-Means,0.49946376589551095,0.009749412536621094,55,GO:0042127,GO:0006796,GO:0006996
Agglomerative,0.49946376589551095,0.0017037391662597656,55,GO:0042127,GO:0006796,GO:0006996
DBSCAN,0.0,0.002415180206298828,55,GO:0042127,GO:0006796,GO:0006996
HDBSCAN,0.5980111736945269,0.0047223567962646484,55,GO:0042127,GO:0006796,GO:0006996
K-Means,0.48085695923493355,0.009659051895141602,72,GO:0042127,GO:0022607,GO:0008104
Agglomerative,0.5059303701019832,0.0016415119171142578,72,GO:0042127,GO:0022607,GO:0008104
DBSCAN,0.0,0.0021657943725585938,72,GO:0042127,GO:0022607,GO:0008104
HDBSCAN,0.5914893979742818,0.005678415298461914,72,GO:0042127,GO:0022607,GO:0008104
K-Means,0.5855382713505718,0.009755849838256836,63,GO:0042127,GO:0022607,GO:1901565
Agglomerative,0.621869503351387,0.0018198490142822266,63,GO:0042127,GO:0022607,GO:1901565
DBSCAN,0.0,0.002450704574584961,63,GO:0042127,GO:0022607,GO:1901565
HDBSCAN,0.4872346185939924,0.0054361820220947266,63,GO:0042127,GO:0022607,GO:1901565
K-Means,0.6032238065716057,0.009727239608764648,65,GO:0042127,GO:0022607,GO:0098662
Agglomerative,0.5964691046658259,0.0018622875213623047,65,GO:0042127,GO:0022607,GO:0098662
DBSCAN,0.0,0.0024492740631103516,65,GO:0042127,GO:0022607,GO:0098662
HDBSCAN,0.6444543828264758,0.005612850189208984,65,GO:0042127,GO:0022607,GO:0098662
K-Means,0.6228364022034484,0.009805440902709961,63,GO:0042127,GO:0022607,GO:0080135
Agglomerative,0.6228364022034484,0.0018191337585449219,63,GO:0042127,GO:0022607,GO:0080135
DBSCAN,0.0,0.0024652481079101562,63,GO:0042127,GO:0022607,GO:0080135
HDBSCAN,0.3600547824696097,0.0053653717041015625,63,GO:0042127,GO:0022607,GO:0080135
K-Means,0.5424340758010144,0.009588241577148438,57,GO:0042127,GO:0008104,GO:0097435
Agglomerative,0.5774285123423135,0.001445770263671875,57,GO:0042127,GO:0008104,GO:0097435
DBSCAN,0.0,0.0020864009857177734,57,GO:0042127,GO:0008104,GO:0097435
HDBSCAN,0.5748639895002011,0.004402875900268555,57,GO:0042127,GO:0008104,GO:0097435
K-Means,0.5584384185333892,0.009587764739990234,59,GO:0042127,GO:0008104,GO:1901565
Agglomerative,0.5584384185333892,0.0014638900756835938,59,GO:0042127,GO:0008104,GO:1901565
DBSCAN,0.0,0.002084016799926758,59,GO:0042127,GO:0008104,GO:1901565
HDBSCAN,0.6353896755663305,0.004477024078369141,59,GO:0042127,GO:0008104,GO:1901565
K-Means,0.5433775374812859,0.009694814682006836,61,GO:0042127,GO:0008104,GO:0098662
Agglomerative,0.5433775374812859,0.0015273094177246094,61,GO:0042127,GO:0008104,GO:0098662
DBSCAN,0.0,0.0021195411682128906,61,GO:0042127,GO:0008104,GO:0098662
HDBSCAN,0.6180152462213275,0.005111217498779297,61,GO:0042127,GO:0008104,GO:0098662
K-Means,0.5173574114749956,0.00957942008972168,59,GO:0042127,GO:0008104,GO:0080135
Agglomerative,0.40460913073966476,0.0014598369598388672,59,GO:0042127,GO:0008104,GO:0080135
DBSCAN,0.0,0.0021016597747802734,59,GO:0042127,GO:0008104,GO:0080135
HDBSCAN,0.5878318071619388,0.004436016082763672,59,GO:0042127,GO:0008104,GO:0080135
K-Means,0.5315878598410838,0.00961613655090332,63,GO:0042127,GO:0008104,GO:0006996
Agglomerative,0.5315878598410838,0.0015006065368652344,63,GO:0042127,GO:0008104,GO:0006996
DBSCAN,0.0,0.002134084701538086,63,GO:0042127,GO:0008104,GO:0006996
HDBSCAN,0.5441317776252573,0.0050656795501708984,63,GO:0042127,GO:0008104,GO:0006996
K-Means,0.5536476569619646,0.00961756706237793,48,GO:0042127,GO:0097435,GO:1901565
Agglomerative,0.7008033143030364,0.0013926029205322266,48,GO:0042127,GO:0097435,GO:1901565
DBSCAN,0.0,0.0020143985748291016,48,GO:0042127,GO:0097435,GO:1901565
HDBSCAN,0.5615947732997482,0.0036630630493164062,48,GO:0042127,GO:0097435,GO:1901565
K-Means,0.5616158982334262,0.009565353393554688,50,GO:0042127,GO:0097435,GO:0098662
Agglomerative,0.6859578286227007,0.0013577938079833984,50,GO:0042127,GO:0097435,GO:0098662
DBSCAN,0.0,0.0020325183868408203,50,GO:0042127,GO:0097435,GO:0098662
HDBSCAN,0.7514999029496023,0.0037963390350341797,50,GO:0042127,GO:0097435,GO:0098662
K-Means,0.49107017297145267,0.00956416130065918,48,GO:0042127,GO:0097435,GO:0080135
Agglomerative,0.49107017297145267,0.001348733901977539,48,GO:0042127,GO:0097435,GO:0080135
DBSCAN,0.0,0.002126455307006836,48,GO:0042127,GO:0097435,GO:0080135
HDBSCAN,0.0,0.0034799575805664062,48,GO:0042127,GO:0097435,GO:0080135
K-Means,0.6626506024096386,0.009600162506103516,52,GO:0042127,GO:1901565,GO:0098662
Agglomerative,0.6626506024096386,0.0015401840209960938,52,GO:0042127,GO:1901565,GO:0098662
DBSCAN,0.0,0.0021898746490478516,52,GO:0042127,GO:1901565,GO:0098662
HDBSCAN,0.9429394812680115,0.0041294097900390625,52,GO:0042127,GO:1901565,GO:0098662
K-Means,0.5245739688812052,0.009555578231811523,50,GO:0042127,GO:1901565,GO:0080135
Agglomerative,0.5245739688812052,0.0013670921325683594,50,GO:0042127,GO:1901565,GO:0080135
DBSCAN,0.0,0.002043485641479492,50,GO:0042127,GO:1901565,GO:0080135
HDBSCAN,0.4647550026459535,0.0038166046142578125,50,GO:0042127,GO:1901565,GO:0080135
K-Means,0.48421918745835896,0.009705066680908203,54,GO:0042127,GO:1901565,GO:0006996
Agglomerative,0.48421918745835896,0.0016853809356689453,54,GO:0042127,GO:1901565,GO:0006996
DBSCAN,0.0,0.0023851394653320312,54,GO:0042127,GO:1901565,GO:0006996
HDBSCAN,0.3562564306008185,0.0047605037689208984,54,GO:0042127,GO:1901565,GO:0006996
K-Means,0.5549132947976878,0.009720563888549805,52,GO:0042127,GO:0098662,GO:0080135
Agglomerative,0.5549132947976878,0.001676797866821289,52,GO:0042127,GO:0098662,GO:0080135
DBSCAN,0.0,0.0023751258850097656,52,GO:0042127,GO:0098662,GO:0080135
HDBSCAN,0.5549132947976878,0.0044097900390625,52,GO:0042127,GO:0098662,GO:0080135
K-Means,0.5140562248995983,0.009708166122436523,56,GO:0042127,GO:0098662,GO:0006996
Agglomerative,0.6296296296296297,0.0017185211181640625,56,GO:0042127,GO:0098662,GO:0006996
DBSCAN,0.0,0.0023822784423828125,56,GO:0042127,GO:0098662,GO:0006996
HDBSCAN,0.6351992681113843,0.004803180694580078,56,GO:0042127,GO:0098662,GO:0006996
K-Means,0.582762498722012,0.0485692024230957,54,GO:0042127,GO:0080135,GO:0006996
Agglomerative,0.582762498722012,0.0017023086547851562,54,GO:0042127,GO:0080135,GO:0006996
DBSCAN,0.0,0.0023736953735351562,54,GO:0042127,GO:0080135,GO:0006996
HDBSCAN,0.5049829508952839,0.004573345184326172,54,GO:0042127,GO:0080135,GO:0006996
K-Means,0.45762969724631064,0.009726762771606445,63,GO:0061024,GO:0006796,GO:0008104
Agglomerative,0.4053680586458065,0.00182342529296875,63,GO:0061024,GO:0006796,GO:0008104
DBSCAN,0.0,0.0024683475494384766,63,GO:0061024,GO:0006796,GO:0008104
HDBSCAN,0.3050488180883864,0.005559682846069336,63,GO:0061024,GO:0006796,GO:0008104
K-Means,0.6317142982958298,0.009723424911499023,54,GO:0061024,GO:0006796,GO:1901565
Agglomerative,0.5733845897362976,0.001703500747680664,54,GO:0061024,GO:0006796,GO:1901565
DBSCAN,0.0,0.002378225326538086,54,GO:0061024,GO:0006796,GO:1901565
HDBSCAN,0.31490332391918313,0.00460505485534668,54,GO:0061024,GO:0006796,GO:1901565
K-Means,0.5117891816920943,0.009742259979248047,56,GO:0061024,GO:0006796,GO:0098662
Agglomerative,0.4504227517294389,0.0017266273498535156,56,GO:0061024,GO:0006796,GO:0098662
DBSCAN,0.0,0.0023932456970214844,56,GO:0061024,GO:0006796,GO:0098662
HDBSCAN,0.3403412028261244,0.004936695098876953,56,GO:0061024,GO:0006796,GO:0098662
K-Means,0.5229344147123804,0.00959920883178711,54,GO:0061024,GO:0006796,GO:0080135
Agglomerative,0.46667928482367427,0.0014085769653320312,54,GO:0061024,GO:0006796,GO:0080135
DBSCAN,0.0,0.0020704269409179688,54,GO:0061024,GO:0006796,GO:0080135
HDBSCAN,0.3592134168135871,0.004101276397705078,54,GO:0061024,GO:0006796,GO:0080135
K-Means,0.32696157882258015,0.009560108184814453,62,GO:0061024,GO:0008104,GO:1901565
Agglomerative,0.2959519634180515,0.0014996528625488281,62,GO:0061024,GO:0008104,GO:1901565
DBSCAN,0.0,0.0020933151245117188,62,GO:0061024,GO:0008104,GO:1901565
HDBSCAN,0.2775697803586437,0.004731655120849609,62,GO:0061024,GO:0008104,GO:1901565
K-Means,0.6115004350385753,0.009575843811035156,64,GO:0061024,GO:0008104,GO:0098662
Agglomerative,0.49755288759264066,0.0015234947204589844,64,GO:0061024,GO:0008104,GO:0098662
DBSCAN,0.0,0.002104043960571289,64,GO:0061024,GO:0008104,GO:0098662
HDBSCAN,0.3416562956944661,0.004976511001586914,64,GO:0061024,GO:0008104,GO:0098662
K-Means,0.43030212725692724,0.009743213653564453,62,GO:0061024,GO:0008104,GO:0080135
Agglomerative,0.31101520805440663,0.0018084049224853516,62,GO:0061024,GO:0008104,GO:0080135
DBSCAN,0.0,0.002507448196411133,62,GO:0061024,GO:0008104,GO:0080135
HDBSCAN,0.2775697803586437,0.005367279052734375,62,GO:0061024,GO:0008104,GO:0080135
K-Means,0.4780463115272681,0.00977015495300293,55,GO:0061024,GO:1901565,GO:0098662
Agglomerative,0.3245018808833852,0.0017001628875732422,55,GO:0061024,GO:1901565,GO:0098662
DBSCAN,0.0,0.002413034439086914,55,GO:0061024,GO:1901565,GO:0098662
HDBSCAN,0.324209608790701,0.004877567291259766,55,GO:0061024,GO:1901565,GO:0098662
K-Means,0.5218332731865752,0.009700775146484375,53,GO:0061024,GO:1901565,GO:0080135
Agglomerative,0.4862021481685486,0.00168609619140625,53,GO:0061024,GO:1901565,GO:0080135
DBSCAN,0.0,0.002390623092651367,53,GO:0061024,GO:1901565,GO:0080135
HDBSCAN,0.33794618153116246,0.004528045654296875,53,GO:0061024,GO:1901565,GO:0080135
K-Means,0.4637383513464945,0.009711027145385742,55,GO:0061024,GO:0098662,GO:0080135
Agglomerative,0.4045979576254345,0.0017015933990478516,55,GO:0061024,GO:0098662,GO:0080135
DBSCAN,0.0,0.0023970603942871094,55,GO:0061024,GO:0098662,GO:0080135
HDBSCAN,0.14854867410993447,0.00465083122253418,55,GO:0061024,GO:0098662,GO:0080135
K-Means,0.4515578427126589,0.009723186492919922,65,GO:0006796,GO:0022607,GO:0008104
Agglomerative,0.4061305041766897,0.0018465518951416016,65,GO:0006796,GO:0022607,GO:0008104
DBSCAN,0.0,0.0024940967559814453,65,GO:0006796,GO:0022607,GO:0008104
HDBSCAN,0.2796973343606881,0.005579471588134766,65,GO:0006796,GO:0022607,GO:0008104
K-Means,0.7259326679107324,0.009758710861206055,56,GO:0006796,GO:0022607,GO:1901565
Agglomerative,0.7259326679107324,0.0017077922821044922,56,GO:0006796,GO:0022607,GO:1901565
DBSCAN,0.0,0.002379179000854492,56,GO:0006796,GO:0022607,GO:1901565
HDBSCAN,0.32294176485156595,0.00481104850769043,56,GO:0006796,GO:0022607,GO:1901565
K-Means,0.27408324451005966,0.009557247161865234,58,GO:0006796,GO:0022607,GO:0098662
Agglomerative,0.5362560083790001,0.0014634132385253906,58,GO:0006796,GO:0022607,GO:0098662
DBSCAN,0.0,0.002089262008666992,58,GO:0006796,GO:0022607,GO:0098662
HDBSCAN,0.5404645266585747,0.004464864730834961,58,GO:0006796,GO:0022607,GO:0098662
K-Means,-0.013231961400687185,0.009569168090820312,56,GO:0006796,GO:0022607,GO:0080135
Agglomerative,0.6215260652100589,0.0014057159423828125,56,GO:0006796,GO:0022607,GO:0080135
DBSCAN,0.0,0.002077341079711914,56,GO:0006796,GO:0022607,GO:0080135
HDBSCAN,0.39613891486974395,0.004381656646728516,56,GO:0006796,GO:0022607,GO:0080135
