Algorithm,p_within,p_between,ARI,NMI
girvan_newman,0.8,0.2,0.14953271028037382,0.12329673097780551
girvan_newman,0.8,0.3,0.14953271028037382,0.12329673097780551
girvan_newman,0.8,0.4,0.14953271028037382,0.12329673097780551
girvan_newman,0.8,0.5,0.14953271028037382,0.12329673097780551
girvan_newman,0.8,0.6,0.14953271028037382,0.12329673097780551
girvan_newman,0.8,0.7,0.14953271028037382,0.12329673097780551
girvan_newman,0.8,0.8,-0.016614745586708203,0.005558872626320696
girvan_newman,0.9,0.1,0.14953271028037382,0.12329673097780551
girvan_newman,0.9,0.2,0.14953271028037382,0.12329673097780551
girvan_newman,0.9,0.3,0.14953271028037382,0.12329673097780551
girvan_newman,0.9,0.4,0.14953271028037382,0.12329673097780551
girvan_newman,0.9,0.5,0.14953271028037382,0.12329673097780551
girvan_newman,0.9,0.6,0.14953271028037382,0.12329673097780551
girvan_newman,0.9,0.7,0.14953271028037382,0.12329673097780551
girvan_newman,0.9,0.8,0.14953271028037382,0.12329673097780551
girvan_newman,0.9,0.9,-0.016614745586708203,0.005558872626320696
girvan_newman,1.0,0.1,0.8567632208344406,0.757566419168745
girvan_newman,1.0,0.2,0.14953271028037382,0.12329673097780551
girvan_newman,1.0,0.3,0.14953271028037382,0.12329673097780551
girvan_newman,1.0,0.4,0.14953271028037382,0.12329673097780551
girvan_newman,1.0,0.5,0.14953271028037382,0.12329673097780551
girvan_newman,1.0,0.6,0.14953271028037382,0.12329673097780551
girvan_newman,1.0,0.7,0.14953271028037382,0.12329673097780551
girvan_newman,1.0,0.8,0.14953271028037382,0.12329673097780551
girvan_newman,1.0,0.9,0.14953271028037382,0.12329673097780551
girvan_newman,1.0,1.0,-0.016614745586708203,0.005558872626320696
spectral_clustering,0.1,0.1,0.01802990325417766,0.02571112508900982
spectral_clustering,0.2,0.1,-0.0020437956204379564,0.004391525554656796
spectral_clustering,0.2,0.2,0.001830873097608422,0.0004319518011836086
spectral_clustering,0.3,0.1,0.6049149338374291,0.49351018074492387
spectral_clustering,0.3,0.2,-0.04398838334946757,0.037570400625341914
spectral_clustering,0.3,0.3,-0.006156552330694811,0.001599196059711663
spectral_clustering,0.4,0.1,0.9303396660909614,0.860486227572318
spectral_clustering,0.4,0.2,0.1815490873211643,0.08290101444996935
spectral_clustering,0.4,0.3,-0.0013192612137203166,0.0007030958238700251
spectral_clustering,0.4,0.4,-0.0020437956204379564,0.004391525554656796
spectral_clustering,0.5,0.1,1.0,1.0
spectral_clustering,0.5,0.2,0.9303396660909614,0.860486227572318
